time="2023-03-06T22:57:27+08:00" level=info msg="Started server on :8080"
time="2023-03-06T22:57:27+08:00" level=info msg="Server semantic: AtLeastOnce"
time="2023-03-06T22:57:27+08:00" level=info msg="Server loss rate: 90"
time="2023-03-06T22:57:31+08:00" level=info msg="Accepted stream from 127.0.0.1:62688"
time="2023-03-06T22:57:31+08:00" level=info msg="Dropped packet from 127.0.0.1:62688"
time="2023-03-06T22:57:33+08:00" level=info msg="Accepted stream from 127.0.0.1:62688"
time="2023-03-06T22:57:33+08:00" level=info msg="Dropped packet from 127.0.0.1:62688"
time="2023-03-06T22:57:35+08:00" level=info msg="Accepted stream from 127.0.0.1:62688"
time="2023-03-06T22:57:35+08:00" level=info msg="Dropped packet from 127.0.0.1:62688"
time="2023-03-06T22:57:37+08:00" level=info msg="Accepted stream from 127.0.0.1:62688"
time="2023-03-06T22:57:37+08:00" level=info msg="Dropped packet from 127.0.0.1:62688"
time="2023-03-06T22:57:39+08:00" level=info msg="Accepted stream from 127.0.0.1:62688"
time="2023-03-06T22:57:39+08:00" level=info msg="Dropped packet from 127.0.0.1:62688"
time="2023-03-06T22:57:41+08:00" level=info msg="Accepted stream from 127.0.0.1:62688"
time="2023-03-06T22:57:41+08:00" level=info msg="Dropped packet from 127.0.0.1:62688"
time="2023-03-06T22:57:43+08:00" level=info msg="Accepted stream from 127.0.0.1:62688"
time="2023-03-06T22:57:48+08:00" level=error msg="Error handling request" error=timeout
